"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2026年06月19日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","A1101","","A2301","","B1101","","B1106","","C120110","","C210715","","C3101","","C3107","","C3401","","D2201","","H6133","","I5101","","#A03506","","#A05101","","#F01201","","#I0910103",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","注釈","A2301_住民基本台帳人口（総数）【人】","注釈","B1101_総面積（北方地域及び竹島を除く）【ｈａ】","注釈","B1106_森林面積【ｈａ】","注釈","C120110_課税対象所得【千円】","注釈","C210715_事業所数（小売業）【所】","注釈","C3101_農業産出額【百万円】","注釈","C3107_耕地面積【ｈａ】","注釈","C3401_製造品出荷額等【百万円】","注釈","D2201_財政力指数（市町村財政）【‐】","注釈","H6133_百貨店、総合スーパー数【事業所】","注釈","I5101_病院数【施設】","注釈","#A03506_65歳以上人口割合【％】","注釈","#A05101_人口増減率【％】","注釈","#F01201_第1次産業就業者比率【％】","注釈","#I0910103_一般病院数（人口10万人当たり）【施設】","注釈"
"2024100000","2024年度","43433","熊本県 南阿蘇村","","***","","10,026","","13,732","","***","","10,081,531","","***","","***","","3,180","","***","","***","","***","","***","","***","","***","","***","","***",""
"2024100000","2024年度","43441","熊本県 御船町","","***","","17,270","","9,903","","***","","19,638,171","","***","","***","","1,270","","***","","***","","***","","***","","***","","***","","***","","***",""
"2024100000","2024年度","43442","熊本県 嘉島町","","***","","10,254","","1,665","","***","","14,469,990","","***","","***","","751","","***","","***","","***","","***","","***","","***","","***","","***",""
"2024100000","2024年度","43443","熊本県 益城町","","***","","34,107","","6,568","","***","","42,191,076","","***","","***","","2,090","","***","","***","","***","","***","","***","","***","","***","","***",""
"2024100000","2024年度","43444","熊本県 甲佐町","","***","","9,948","","5,793","","***","","9,633,718","","***","","***","","1,190","","***","","***","","***","","***","","***","","***","","***","","***",""
"2024100000","2024年度","43447","熊本県 山都町","","***","","12,887","","54,467","","***","","11,557,422","","***","","***","","4,780","","***","","***","","***","","***","","***","","***","","***","","***",""
"2024100000","2024年度","43468","熊本県 氷川町","","***","","10,742","","3,336","","***","","11,222,938","","***","","***","","1,510","","***","","***","","***","","***","","***","","***","","***","","***",""
"2024100000","2024年度","43482","熊本県 芦北町","","***","","14,877","","23,401","","***","","14,086,091","","***","","***","","1,440","","***","","***","","***","","***","","***","","***","","***","","***",""
"2024100000","2024年度","43484","熊本県 津奈木町","","***","","4,107","","3,408","","***","","3,658,187","","***","","***","","272","","***","","***","","***","","***","","***","","***","","***","","***",""
"2024100000","2024年度","43501","熊本県 錦町","","***","","10,033","","8,504","","***","","10,937,069","","***","","***","","1,550","","***","","***","","***","","***","","***","","***","","***","","***",""
"2024100000","2024年度","43505","熊本県 多良木町","","***","","8,321","","16,586","","***","","9,118,317","","***","","***","","1,630","","***","","***","","***","","***","","***","","***","","***","","***",""
"2024100000","2024年度","43506","熊本県 湯前町","","***","","3,445","","4,837","","***","","3,302,882","","***","","***","","553","","***","","***","","***","","***","","***","","***","","***","","***",""
"2024100000","2024年度","43507","熊本県 水上村","","***","","1,933","","19,096","","***","","1,709,939","","***","","***","","349","","***","","***","","***","","***","","***","","***","","***","","***",""
"2024100000","2024年度","43510","熊本県 相良村","","***","","3,961","","9,454","","***","","3,801,911","","***","","***","","791","","***","","***","","***","","***","","***","","***","","***","","***",""
