"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2026年06月19日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","B1101","","B1106","","C120110","","C3107","","C3401","","D2201","","E2101","","E3101","","H6101","","H6103","","H6104","","I5101",""
"調査年 コード","調査年","地域 コード","地域","/項目","B1101_総面積（北方地域及び竹島を除く）【ｈａ】","注釈","B1106_森林面積【ｈａ】","注釈","C120110_課税対象所得【千円】","注釈","C3107_耕地面積【ｈａ】","注釈","C3401_製造品出荷額等【百万円】","注釈","D2201_財政力指数（市町村財政）【‐】","注釈","E2101_小学校数【校】","注釈","E3101_中学校数【校】","注釈","H6101_小売店数（事業所・企業統計調査結果）【事業所】","注釈","H6103_大型小売店数（事業所・企業統計調査結果）【事業所】","注釈","H6104_百貨店、総合スーパー数（事業所・企業統計調査結果）【事業所】","注釈","I5101_病院数【施設】","注釈"
"2024100000","2024年度","43484","熊本県 津奈木町","","3,408","","***","","3,658,187","","272","","***","","***","","1","","1","","***","","***","","***","","***",""
"2024100000","2024年度","43501","熊本県 錦町","","8,504","","***","","10,937,069","","1,550","","***","","***","","3","","1","","***","","***","","***","","***",""
"2024100000","2024年度","43505","熊本県 多良木町","","16,586","","***","","9,118,317","","1,630","","***","","***","","6","","1","","***","","***","","***","","***",""
"2024100000","2024年度","43506","熊本県 湯前町","","4,837","","***","","3,302,882","","553","","***","","***","","1","","1","","***","","***","","***","","***",""
"2024100000","2024年度","43507","熊本県 水上村","","19,096","","***","","1,709,939","","349","","***","","***","","0","","0","","***","","***","","***","","***",""
"2024100000","2024年度","43510","熊本県 相良村","","9,454","","***","","3,801,911","","791","","***","","***","","2","","1","","***","","***","","***","","***",""
"2024100000","2024年度","43511","熊本県 五木村","","25,292","","***","","1,014,829","","73","","***","","***","","1","","1","","***","","***","","***","","***",""
"2024100000","2024年度","43512","熊本県 山江村","","12,119","","***","","2,967,026","","371","","***","","***","","2","","1","","***","","***","","***","","***",""
"2024100000","2024年度","43513","熊本県 球磨村","","20,758","","***","","2,266,180","","556","","***","","***","","0","","0","","***","","***","","***","","***",""
"2024100000","2024年度","43514","熊本県 あさぎり町","","15,956","","***","","14,326,615","","2,860","","***","","***","","5","","1","","***","","***","","***","","***",""
"2024100000","2024年度","43531","熊本県 苓北町","","6,758","","***","","6,105,332","","594","","***","","***","","4","","1","","***","","***","","***","","***",""
"2023100000","2023年度","43100","熊本県 熊本市","","39,032","","***","","1,144,773,638","","10,800","","469,450","","***","","93","","52","","***","","***","","***","","91",""
"2023100000","2023年度","43101","熊本県 熊本市 中央区","","2,545","","***","","-","","-","","15,636","","***","","20","","18","","***","","***","","***","","35",""
"2023100000","2023年度","43102","熊本県 熊本市 東区","","5,019","","***","","-","","-","","93,191","","***","","18","","10","","***","","***","","***","","17",""
"2023100000","2023年度","43103","熊本県 熊本市 西区","","8,933","","***","","-","","-","","26,838","","***","","13","","7","","***","","***","","***","","8",""
"2023100000","2023年度","43104","熊本県 熊本市 南区","","11,001","","***","","-","","-","","152,568","","***","","21","","8","","***","","***","","***","","16",""
"2023100000","2023年度","43105","熊本県 熊本市 北区","","11,534","","***","","-","","-","","181,216","","***","","21","","9","","***","","***","","***","","15",""
"2023100000","2023年度","43202","熊本県 八代市","","68,129","","***","","147,408,497","","6,880","","292,032","","***","","24","","16","","***","","***","","***","","10",""
"2023100000","2023年度","43203","熊本県 人吉市","","21,055","","***","","36,845,896","","1,400","","22,077","","***","","6","","3","","***","","***","","***","","9",""
"2023100000","2023年度","43204","熊本県 荒尾市","","5,737","","***","","56,288,778","","1,280","","53,120","","***","","10","","3","","***","","***","","***","","5",""
"2023100000","2023年度","43205","熊本県 水俣市","","16,329","","***","","24,223,835","","811","","49,796","","***","","8","","5","","***","","***","","***","","7",""
"2023100000","2023年度","43206","熊本県 玉名市","","15,260","","***","","76,500,729","","6,080","","57,622","","***","","15","","7","","***","","***","","***","","4",""
"2023100000","2023年度","43208","熊本県 山鹿市","","29,969","","***","","53,507,292","","6,710","","70,951","","***","","8","","5","","***","","***","","***","","6",""
"2023100000","2023年度","43210","熊本県 菊池市","","27,685","","***","","52,502,233","","5,790","","199,004","","***","","10","","5","","***","","***","","***","","5",""
"2023100000","2023年度","43211","熊本県 宇土市","","7,430","","***","","43,716,987","","1,760","","102,948","","***","","7","","4","","***","","***","","***","","1",""
"2023100000","2023年度","43212","熊本県 上天草市","","12,667","","***","","26,140,696","","999","","14,308","","***","","11","","5","","***","","***","","***","","1",""
"2023100000","2023年度","43213","熊本県 宇城市","","18,867","","***","","66,501,720","","5,390","","137,958","","***","","12","","5","","***","","***","","***","","7",""
"2023100000","2023年度","43214","熊本県 阿蘇市","","37,630","","***","","28,189,977","","8,620","","138,000","","***","","5","","3","","***","","***","","***","","4",""
"2023100000","2023年度","43215","熊本県 天草市","","68,382","","***","","79,021,668","","4,650","","37,624","","***","","17","","13","","***","","***","","***","","14",""
"2023100000","2023年度","43216","熊本県 合志市","","5,319","","***","","92,458,102","","2,010","","576,795","","***","","8","","4","","***","","***","","***","","5",""
"2023100000","2023年度","43348","熊本県 美里町","","14,400","","***","","8,355,111","","1,120","","4,191","","***","","3","","2","","***","","***","","***","","2",""
"2023100000","2023年度","43364","熊本県 玉東町","","2,433","","***","","5,500,896","","737","","3,388","","***","","2","","1","","***","","***","","***","","0",""
"2023100000","2023年度","43367","熊本県 南関町","","6,892","","***","","8,830,610","","1,310","","184,434","","***","","4","","1","","***","","***","","***","","0",""
"2023100000","2023年度","43368","熊本県 長洲町","","1,944","","***","","16,743,298","","656","","149,248","","***","","4","","2","","***","","***","","***","","1",""
"2023100000","2023年度","43369","熊本県 和水町","","9,878","","***","","9,581,315","","1,920","","30,280","","***","","2","","2","","***","","***","","***","","1",""
"2023100000","2023年度","43403","熊本県 大津町","","9,910","","***","","54,088,742","","2,160","","316,855","","***","","7","","2","","***","","***","","***","","1",""
"2023100000","2023年度","43404","熊本県 菊陽町","","3,746","","***","","74,472,670","","1,340","","212,319","","***","","6","","2","","***","","***","","***","","5",""
"2023100000","2023年度","43423","熊本県 南小国町","","11,590","","***","","3,858,222","","830","","1,014","","***","","3","","1","","***","","***","","***","","0",""
"2023100000","2023年度","43424","熊本県 小国町","","13,694","","***","","6,767,558","","1,210","","2,830","","***","","1","","1","","***","","***","","***","","1",""
"2023100000","2023年度","43425","熊本県 産山村","","6,081","","***","","1,245,567","","841","","0","","***","","0","","0","","***","","***","","***","","0",""
"2023100000","2023年度","43428","熊本県 高森町","","17,506","","***","","5,754,522","","2,180","","10,800","","***","","1","","1","","***","","***","","***","","0",""
"2023100000","2023年度","43432","熊本県 西原村","","7,722","","***","","8,598,271","","1,030","","58,152","","***","","2","","1","","***","","***","","***","","0",""
"2023100000","2023年度","43433","熊本県 南阿蘇村","","13,732","","***","","10,294,673","","3,150","","5,957","","***","","3","","1","","***","","***","","***","","1",""
"2023100000","2023年度","43441","熊本県 御船町","","9,903","","***","","19,013,879","","1,270","","14,207","","***","","6","","1","","***","","***","","***","","1",""
"2023100000","2023年度","43442","熊本県 嘉島町","","1,665","","***","","14,227,892","","757","","50,960","","***","","2","","1","","***","","***","","***","","2",""
"2023100000","2023年度","43443","熊本県 益城町","","6,568","","***","","41,257,425","","2,120","","87,766","","***","","5","","2","","***","","***","","***","","3",""
"2023100000","2023年度","43444","熊本県 甲佐町","","5,793","","***","","9,944,332","","1,190","","12,323","","***","","4","","1","","***","","***","","***","","2",""
"2023100000","2023年度","43447","熊本県 山都町","","54,467","","***","","12,023,460","","4,820","","7,625","","***","","6","","3","","***","","***","","***","","4",""
"2023100000","2023年度","43468","熊本県 氷川町","","3,336","","***","","12,016,128","","1,510","","691","","***","","3","","2","","***","","***","","***","","1",""
"2023100000","2023年度","43482","熊本県 芦北町","","23,401","","***","","14,688,628","","1,430","","20,063","","***","","5","","3","","***","","***","","***","","3",""
"2023100000","2023年度","43484","熊本県 津奈木町","","3,408","","***","","3,778,330","","270","","3,149","","***","","1","","1","","***","","***","","***","","0",""
"2023100000","2023年度","43501","熊本県 錦町","","8,504","","***","","11,191,369","","1,550","","43,754","","***","","3","","1","","***","","***","","***","","0",""
"2023100000","2023年度","43505","熊本県 多良木町","","16,586","","***","","10,118,428","","1,630","","5,783","","***","","6","","1","","***","","***","","***","","1",""
"2023100000","2023年度","43506","熊本県 湯前町","","4,837","","***","","3,364,794","","557","","2,667","","***","","1","","1","","***","","***","","***","","0",""
"2023100000","2023年度","43507","熊本県 水上村","","19,096","","***","","1,847,542","","349","","2,095","","***","","0","","0","","***","","***","","***","","0",""
"2023100000","2023年度","43510","熊本県 相良村","","9,454","","***","","3,959,385","","791","","10,837","","***","","2","","1","","***","","***","","***","","0",""
"2023100000","2023年度","43511","熊本県 五木村","","25,292","","***","","1,059,426","","73","","407","","***","","1","","1","","***","","***","","***","","0",""
"2023100000","2023年度","43512","熊本県 山江村","","12,119","","***","","3,126,712","","373","","501","","***","","2","","1","","***","","***","","***","","0",""
"2023100000","2023年度","43513","熊本県 球磨村","","20,758","","***","","2,306,970","","549","","335","","***","","2","","1","","***","","***","","***","","0",""
"2023100000","2023年度","43514","熊本県 あさぎり町","","15,956","","***","","15,097,485","","2,870","","20,937","","***","","5","","1","","***","","***","","***","","1",""
"2023100000","2023年度","43531","熊本県 苓北町","","6,758","","***","","6,483,440","","600","","1,011","","***","","4","","1","","***","","***","","***","","3",""
"2022100000","2022年度","43100","熊本県 熊本市","","39,032","","***","","1,114,968,045","","10,900","","468,590","","0.70","","93","","52","","***","","***","","***","","91",""
"2022100000","2022年度","43101","熊本県 熊本市 中央区","","2,545","","***","","-","","-","","13,391","","-","","20","","18","","***","","***","","***","","35",""
"2022100000","2022年度","43102","熊本県 熊本市 東区","","5,019","","***","","-","","-","","86,273","","-","","18","","10","","***","","***","","***","","17",""
"2022100000","2022年度","43103","熊本県 熊本市 西区","","8,933","","***","","-","","-","","25,959","","-","","13","","7","","***","","***","","***","","8",""
"2022100000","2022年度","43104","熊本県 熊本市 南区","","11,001","","***","","-","","-","","150,603","","-","","21","","8","","***","","***","","***","","16",""
"2022100000","2022年度","43105","熊本県 熊本市 北区","","11,534","","***","","-","","-","","192,364","","-","","21","","9","","***","","***","","***","","15",""
"2022100000","2022年度","43202","熊本県 八代市","","68,129","","***","","146,924,386","","6,950","","303,458","","0.50","","24","","16","","***","","***","","***","","10",""
"2022100000","2022年度","43203","熊本県 人吉市","","21,055","","***","","34,616,858","","1,400","","19,260","","0.44","","6","","3","","***","","***","","***","","9",""
"2022100000","2022年度","43204","熊本県 荒尾市","","5,737","","***","","56,108,946","","1,300","","53,306","","0.48","","10","","3","","***","","***","","***","","5",""
"2022100000","2022年度","43205","熊本県 水俣市","","16,329","","***","","24,242,687","","853","","53,365","","0.37","","8","","5","","***","","***","","***","","7",""
"2022100000","2022年度","43206","熊本県 玉名市","","15,260","","***","","76,196,949","","6,150","","48,867","","0.44","","15","","7","","***","","***","","***","","4",""
"2022100000","2022年度","43208","熊本県 山鹿市","","29,969","","***","","52,541,061","","6,730","","77,023","","0.33","","10","","5","","***","","***","","***","","6",""
"2022100000","2022年度","43210","熊本県 菊池市","","27,685","","***","","53,540,279","","5,780","","182,653","","0.43","","10","","5","","***","","***","","***","","5",""
"2022100000","2022年度","43211","熊本県 宇土市","","7,430","","***","","42,730,596","","1,790","","135,594","","0.52","","7","","4","","***","","***","","***","","1",""
"2022100000","2022年度","43212","熊本県 上天草市","","12,667","","***","","25,772,285","","1,040","","13,244","","0.25","","11","","6","","***","","***","","***","","1",""
"2022100000","2022年度","43213","熊本県 宇城市","","18,867","","***","","65,551,124","","5,430","","135,328","","0.40","","12","","5","","***","","***","","***","","8",""
"2022100000","2022年度","43214","熊本県 阿蘇市","","37,630","","***","","28,004,179","","8,740","","116,707","","0.35","","5","","3","","***","","***","","***","","4",""
"2022100000","2022年度","43215","熊本県 天草市","","68,382","","***","","77,751,624","","4,700","","32,529","","0.28","","17","","13","","***","","***","","***","","14",""
"2022100000","2022年度","43216","熊本県 合志市","","5,319","","***","","88,260,987","","2,080","","696,320","","0.64","","8","","4","","***","","***","","***","","5",""
"2022100000","2022年度","43348","熊本県 美里町","","14,400","","***","","8,400,621","","1,120","","4,032","","0.23","","3","","2","","***","","***","","***","","2",""
"2022100000","2022年度","43364","熊本県 玉東町","","2,433","","***","","5,287,592","","735","","3,415","","0.30","","2","","1","","***","","***","","***","","0",""
"2022100000","2022年度","43367","熊本県 南関町","","6,892","","***","","8,882,910","","1,370","","148,407","","0.39","","4","","1","","***","","***","","***","","0",""
"2022100000","2022年度","43368","熊本県 長洲町","","1,944","","***","","16,716,007","","670","","162,485","","0.52","","4","","2","","***","","***","","***","","1",""
"2022100000","2022年度","43369","熊本県 和水町","","9,878","","***","","9,212,737","","1,930","","29,060","","0.25","","2","","2","","***","","***","","***","","1",""
"2022100000","2022年度","43403","熊本県 大津町","","9,910","","***","","50,926,569","","2,170","","264,076","","0.73","","7","","2","","***","","***","","***","","1",""
"2022100000","2022年度","43404","熊本県 菊陽町","","3,746","","***","","71,756,694","","1,400","","201,257","","0.96","","6","","2","","***","","***","","***","","5",""
"2022100000","2022年度","43423","熊本県 南小国町","","11,590","","***","","3,782,891","","925","","1,016","","0.20","","3","","1","","***","","***","","***","","0",""
"2022100000","2022年度","43424","熊本県 小国町","","13,694","","***","","6,593,328","","1,370","","3,919","","0.24","","1","","1","","***","","***","","***","","1",""
"2022100000","2022年度","43425","熊本県 産山村","","6,081","","***","","1,239,015","","910","","0","","0.16","","0","","0","","***","","***","","***","","0",""
"2022100000","2022年度","43428","熊本県 高森町","","17,506","","***","","5,834,620","","2,340","","8,619","","0.24","","1","","1","","***","","***","","***","","0",""
"2022100000","2022年度","43432","熊本県 西原村","","7,722","","***","","8,296,254","","1,120","","65,272","","0.34","","2","","1","","***","","***","","***","","0",""
"2022100000","2022年度","43433","熊本県 南阿蘇村","","13,732","","***","","10,290,420","","3,110","","6,248","","0.22","","3","","1","","***","","***","","***","","1",""
"2022100000","2022年度","43441","熊本県 御船町","","9,903","","***","","18,155,242","","1,280","","15,426","","0.35","","6","","1","","***","","***","","***","","1",""
"2022100000","2022年度","43442","熊本県 嘉島町","","1,665","","***","","13,364,666","","765","","40,445","","0.63","","2","","1","","***","","***","","***","","2",""
"2022100000","2022年度","43443","熊本県 益城町","","6,568","","***","","39,972,746","","2,180","","70,317","","0.50","","5","","2","","***","","***","","***","","3",""
"2022100000","2022年度","43444","熊本県 甲佐町","","5,793","","***","","9,870,167","","1,190","","12,807","","0.30","","4","","1","","***","","***","","***","","2",""
"2022100000","2022年度","43447","熊本県 山都町","","54,467","","***","","11,775,008","","4,860","","8,045","","0.22","","6","","3","","***","","***","","***","","4",""
"2022100000","2022年度","43468","熊本県 氷川町","","3,336","","***","","11,935,397","","1,520","","660","","0.28","","3","","2","","***","","***","","***","","1",""
"2022100000","2022年度","43482","熊本県 芦北町","","23,401","","***","","14,186,970","","1,410","","18,490","","0.35","","5","","3","","***","","***","","***","","3",""
"2022100000","2022年度","43484","熊本県 津奈木町","","3,408","","***","","3,743,246","","270","","3,525","","0.23","","1","","1","","***","","***","","***","","0",""
"2022100000","2022年度","43501","熊本県 錦町","","8,504","","***","","10,880,603","","1,570","","29,779","","0.38","","3","","1","","***","","***","","***","","0",""
"2022100000","2022年度","43505","熊本県 多良木町","","16,586","","***","","9,513,414","","1,640","","6,247","","0.24","","6","","1","","***","","***","","***","","1",""
"2022100000","2022年度","43506","熊本県 湯前町","","4,837","","***","","3,243,039","","567","","2,757","","0.16","","1","","1","","***","","***","","***","","0",""
"2022100000","2022年度","43507","熊本県 水上村","","19,096","","***","","1,819,491","","352","","2,432","","0.16","","2","","1","","***","","***","","***","","0",""
"2022100000","2022年度","43510","熊本県 相良村","","9,454","","***","","3,734,461","","793","","10,361","","0.20","","2","","1","","***","","***","","***","","0",""
"2022100000","2022年度","43511","熊本県 五木村","","25,292","","***","","1,047,041","","74","","381","","0.21","","1","","1","","***","","***","","***","","0",""
"2022100000","2022年度","43512","熊本県 山江村","","12,119","","***","","3,047,195","","383","","731","","0.15","","2","","1","","***","","***","","***","","0",""
"2022100000","2022年度","43513","熊本県 球磨村","","20,758","","***","","2,186,790","","559","","340","","0.15","","2","","1","","***","","***","","***","","0",""
"2022100000","2022年度","43514","熊本県 あさぎり町","","15,956","","***","","14,786,181","","2,880","","20,850","","0.23","","5","","1","","***","","***","","***","","1",""
"2022100000","2022年度","43531","熊本県 苓北町","","6,758","","***","","6,526,612","","612","","937","","0.43","","4","","1","","***","","***","","***","","3",""
"2021100000","2021年度","43100","熊本県 熊本市","","39,032","","***","","1,083,991,135","","11,000","","453,338","","0.70","","93","","52","","***","","***","","***","","94",""
"2021100000","2021年度","43101","熊本県 熊本市 中央区","","2,545","","***","","-","","-","","13,439","","-","","20","","18","","***","","***","","***","","38",""
"2021100000","2021年度","43102","熊本県 熊本市 東区","","5,019","","***","","-","","-","","82,398","","-","","18","","10","","***","","***","","***","","17",""
"2021100000","2021年度","43103","熊本県 熊本市 西区","","8,933","","***","","-","","-","","24,451","","-","","13","","7","","***","","***","","***","","8",""
"2021100000","2021年度","43104","熊本県 熊本市 南区","","11,001","","***","","-","","-","","147,550","","-","","21","","8","","***","","***","","***","","16",""
"2021100000","2021年度","43105","熊本県 熊本市 北区","","11,534","","***","","-","","-","","185,501","","-","","21","","9","","***","","***","","***","","15",""
"2021100000","2021年度","43202","熊本県 八代市","","68,129","","***","","143,630,425","","7,070","","285,342","","0.50","","24","","16","","***","","***","","***","","10",""
"2021100000","2021年度","43203","熊本県 人吉市","","21,055","","***","","32,613,894","","1,330","","16,716","","0.44","","6","","3","","***","","***","","***","","9",""
"2021100000","2021年度","43204","熊本県 荒尾市","","5,737","","***","","55,925,278","","1,320","","45,971","","0.48","","10","","3","","***","","***","","***","","5",""
"2021100000","2021年度","43205","熊本県 水俣市","","16,329","","***","","24,053,261","","869","","43,978","","0.38","","8","","5","","***","","***","","***","","7",""
"2021100000","2021年度","43206","熊本県 玉名市","","15,260","","***","","75,579,249","","6,230","","54,911","","0.44","","15","","7","","***","","***","","***","","4",""
"2021100000","2021年度","43208","熊本県 山鹿市","","29,969","","***","","51,658,461","","6,810","","71,626","","0.33","","10","","5","","***","","***","","***","","6",""
"2021100000","2021年度","43210","熊本県 菊池市","","27,685","","***","","50,717,192","","5,850","","204,191","","0.43","","10","","5","","***","","***","","***","","5",""
"2021100000","2021年度","43211","熊本県 宇土市","","7,430","","***","","42,564,738","","1,800","","130,547","","0.53","","7","","4","","***","","***","","***","","1",""
"2021100000","2021年度","43212","熊本県 上天草市","","12,694","","***","","25,538,062","","1,100","","12,793","","0.25","","11","","6","","***","","***","","***","","1",""
"2021100000","2021年度","43213","熊本県 宇城市","","18,861","","***","","64,468,128","","5,490","","143,557","","0.41","","12","","5","","***","","***","","***","","8",""
"2021100000","2021年度","43214","熊本県 阿蘇市","","37,630","","***","","27,600,258","","9,040","","114,823","","0.35","","5","","3","","***","","***","","***","","4",""
"2021100000","2021年度","43215","熊本県 天草市","","68,382","","***","","77,333,592","","4,790","","31,701","","0.27","","17","","13","","***","","***","","***","","14",""
"2021100000","2021年度","43216","熊本県 合志市","","5,319","","***","","84,078,856","","2,110","","540,919","","0.66","","8","","4","","***","","***","","***","","5",""
"2021100000","2021年度","43348","熊本県 美里町","","14,400","","***","","8,495,757","","1,140","","3,863","","0.24","","3","","2","","***","","***","","***","","2",""
"2021100000","2021年度","43364","熊本県 玉東町","","2,433","","***","","5,348,453","","742","","3,001","","0.31","","2","","1","","***","","***","","***","","0",""
"2021100000","2021年度","43367","熊本県 南関町","","6,892","","***","","8,810,369","","1,420","","137,447","","0.40","","4","","1","","***","","***","","***","","0",""
"2021100000","2021年度","43368","熊本県 長洲町","","1,944","","***","","16,622,778","","675","","154,401","","0.53","","4","","2","","***","","***","","***","","1",""
"2021100000","2021年度","43369","熊本県 和水町","","9,878","","***","","9,090,092","","1,950","","34,040","","0.25","","2","","2","","***","","***","","***","","1",""
"2021100000","2021年度","43403","熊本県 大津町","","9,910","","***","","48,260,359","","2,180","","244,501","","0.76","","7","","2","","***","","***","","***","","1",""
"2021100000","2021年度","43404","熊本県 菊陽町","","3,746","","***","","67,232,789","","1,430","","209,614","","0.97","","6","","2","","***","","***","","***","","5",""
"2021100000","2021年度","43423","熊本県 南小国町","","11,590","","***","","3,648,756","","959","","983","","0.21","","3","","1","","***","","***","","***","","0",""
"2021100000","2021年度","43424","熊本県 小国町","","13,694","","***","","6,473,113","","1,450","","3,223","","0.24","","1","","1","","***","","***","","***","","1",""
"2021100000","2021年度","43425","熊本県 産山村","","6,081","","***","","1,259,272","","908","","0","","0.16","","0","","0","","***","","***","","***","","0",""
"2021100000","2021年度","43428","熊本県 高森町","","17,506","","***","","5,861,178","","2,360","","8,237","","0.24","","1","","1","","***","","***","","***","","0",""
"2021100000","2021年度","43432","熊本県 西原村","","7,722","","***","","7,922,208","","1,130","","41,056","","0.35","","2","","1","","***","","***","","***","","0",""
"2021100000","2021年度","43433","熊本県 南阿蘇村","","13,732","","***","","9,979,481","","3,200","","6,920","","0.23","","3","","1","","***","","***","","***","","1",""
"2021100000","2021年度","43441","熊本県 御船町","","9,903","","***","","18,520,044","","1,320","","14,262","","0.35","","6","","1","","***","","***","","***","","1",""
